fecha,serie_original,serie_desestacionalizada,serie_tendencia_ciclo
2016-01,117.05119421077302,134.548190187631,132.343847373766
2016-02,118.90029357259574,132.104106876746,131.643957785752
2016-03,136.80623010580314,130.690386298983,130.811220654791
2016-04,132.0696490854989,130.963422655627,129.896730028838
2016-05,132.12673005161108,128.94252811883,128.963247726019
2016-06,124.9916505365282,124.433160256693,128.140476414857
2016-07,126.76147447449927,126.819523255054,127.603463522912
2016-08,133.7329827733621,124.342626302363,127.436599788327
2016-09,135.51789212141713,128.210071821859,127.57136336716
2016-10,133.34114128281072,127.597197035785,127.904362107753
2016-11,134.73703178156455,131.04704340382,128.282376407726
2016-12,124.08230099201045,130.237574556935,128.636281791251
2017-01,115.72788011075902,129.40343235437,128.984873255842
2017-02,109.43840116663539,125.720760407746,129.411496423062
2017-03,135.7397555654156,129.139424288097,130.011394198761
2017-04,127.06229310335894,129.657042396164,130.828412521688
2017-05,137.32629188497592,131.61323094524,131.853525430927
2017-06,134.50955603897785,132.747017975208,133.002843691474
2017-07,135.52441430007988,134.975664114236,134.09921553574
2017-08,143.01220222320006,133.182686789711,134.974423314874
2017-09,140.47537228449835,136.194302140961,135.527003974859
2017-10,142.91248117324935,134.359115924209,135.72487678655
2017-11,141.4719289560601,138.044053609593,135.604370094038
2017-12,126.4041221015147,136.328574610853,135.220942160558
2018-01,120.49879049928444,131.795472001637,134.612211193505
2018-02,116.47032626071217,132.5190461526,133.787808987573
2018-03,137.87384466026174,134.03542311078,132.718159939913
2018-04,132.09178628946967,132.926112941507,131.357494099354
2018-05,135.86546669164358,130.61914382341,129.675284408118
2018-06,123.7285406594831,124.66110279891,127.696421773264
2018-07,126.78055488105136,123.177592983434,125.538329672346
2018-08,134.230175656126,123.879402816673,123.348898482233
2018-09,122.79085973979822,122.29264666932,121.314571176098
2018-10,130.95087535592188,120.178735984006,119.634761778034
2018-11,121.7206486951649,117.443481970001,118.489185306832
2018-12,107.65050820288417,116.865303739199,117.962181399552
2019-01,107.03848029567479,118.121381663728,118.004221550283
2019-02,106.67393616491125,121.675854976871,118.443616525567
2019-03,118.4180246331019,118.233875150657,119.031973774052
2019-04,120.37257298567555,118.072628601052,119.513234923729
2019-05,126.47961261497039,120.885859582441,119.71390705228
2019-06,114.85187278421954,119.127830296846,119.552183075297
2019-07,124.59825669196819,118.129711127751,119.03249071601
2019-08,125.6565333781152,118.139965864121,118.218160160931
2019-09,116.66765831856677,114.011761058834,117.163220176189
2019-10,128.57781819763605,118.348462649325,115.856582843944
2019-11,116.4504456095095,114.877310054464,114.259530427102
2019-12,109.19722086584407,115.81957434017,112.3401486178
2020-01,106.96676586826234,117.288739404096,110.181308227881
2020-02,105.96615315429496,118.592847209791,107.996120551286
2020-03,98.85080173419037,95.6738263275762,106.126625202213
2020-04,80.3695831755266,78.3593144281795,104.975331633577
2020-05,93.39727057897797,94.4270643373304,104.843889102548
2020-06,107.68552518388505,106.419156898576,105.842200885894
2020-07,116.4396784123465,109.417187121489,107.870931816759
2020-08,116.62865541586976,112.178501790159,110.625038386595
2020-09,120.98271248501304,114.657250694646,113.683400952822
2020-10,124.93316804669958,117.31814699918,116.665492360449
2020-11,121.63746716478752,121.173730927599,119.288001570085
2020-12,115.3045653308336,119.816540640685,121.391368557393
2021-01,111.77271865397569,128.566602563599,122.970924162581
2021-02,107.75378473233181,124.762853052707,124.118225362911
2021-03,131.64720668610988,125.578815717024,124.935901008439
2021-04,125.52085964453052,122.613335741916,125.483479981819
2021-05,121.68405865362826,122.711358196476,125.811128656574
2021-06,128.59837307531353,126.792384399384,125.98254669329
2021-07,131.05026656085312,126.450692076076,126.083127300525
2021-08,132.9987929128236,125.25397559698,126.229034235339
2021-09,132.80407745438578,126.529202966139,126.56634016079
2021-10,130.03163702788962,126.10132073868,127.198705661782
2021-11,133.5955966896043,129.712990046461,128.1365860986
2021-12,127.32258878895958,131.247782630799,129.357593659732
2022-01,110.45223892022884,126.739883969706,130.725886592352
2022-02,116.86553670599886,133.471534317124,132.058308534014
2022-03,136.06417977063688,130.444554844616,133.190693423641
2022-04,131.11057688323166,131.278768589342,133.980698329758
2022-05,135.95623391042966,134.388430184968,134.313741872858
2022-06,137.74172355073372,136.302561142156,134.140320255902
2022-07,137.83236809148204,136.394917029368,133.528765089704
2022-08,142.69539492532036,132.118685952407,132.670665396726
2022-09,137.89850280383965,130.453364247139,131.840012281767
2022-10,133.92179942776679,129.75044710762,131.283128871234
2022-11,134.14810212988814,129.43958208832,131.167326321992
2022-12,123.35551311628166,130.348530508584,131.493483876157
2023-01,117.35959829400518,130.787754171785,132.114126986844
2023-02,114.97961805150167,130.860614731108,132.808488586944
2023-03,140.60284318567005,134.413734455758,133.316412275081
2023-04,133.35350382480027,137.123282472199,133.433829276631
2023-05,137.3370382911086,133.190714719449,133.057716866323
2023-06,134.27318455353014,132.290970873046,132.185146293138
2023-07,132.37164756745275,130.303714790066,130.857002029864
2023-08,138.3630070813502,127.723721070597,129.122763734782
2023-09,133.61988928272442,128.774310915289,127.019904961106
2023-10,133.0091904493393,126.189375746738,124.610236222438
2023-11,127.5781512965671,123.282008966767,121.999825391692
2023-12,107.40382708053018,117.422144317454,119.338708662775
2024-01,102.98323083293734,113.344914035007,116.843655172478
2024-02,103.75102024796449,114.376642778967,114.772365984405
2024-03,110.46572537113644,110.566346765124,113.371577430588
2024-04,111.2965219356007,109.991681891313,112.809878081144
2024-05,116.71976927266223,112.078213926598,113.100253034631
2024-06,107.09903168407163,111.669294987124,114.133054006829
2024-07,125.0796687823528,117.543461326888,115.689601314321
2024-08,128.73308622570693,120.311661089831,117.461439730638
2024-09,125.23584745142769,121.654865748319,119.14194860983
2024-10,130.31068482170923,121.252448485919,120.492399000994
2024-11,125.39541977505476,123.138772399691,121.385772175141
2024-12,116.72631144153107,123.742828803248,121.814930227451
2025-01,110.6997958265849,120.851463349535,121.873072670636
2025-02,109.98818073724576,124.302537231388,121.644199454753
2025-03,116.2427621869564,116.261784603604,121.199044573403
2025-04,121.51270057022083,119.567741603647,120.611421124665
2025-05,124.06013768480854,122.149963183061,119.931720855296
2025-06,117.46506682117302,119.985677601589,119.173706690973
2025-07,124.26499240880774,116.796490227653,118.341934611709
2025-08,123.36944453607477,118.285427643105,117.525891250776
2025-09,124.93669372844369,118.121930457037,116.853950566842
2025-10,126.73659797217242,116.978003466738,116.453931726274
2025-11,114.47368910067482,115.81906789067,116.429533313764
2025-12,112.10460862165525,116.434085460678,116.806309480993
2026-01,106.76211729654017,119.373812715254,117.493996936175
2026-02,100.47777663241406,115.691211069883,118.318648310824
2026-03,122.10660502465781,119.343157641921,119.083612658188
